10/31	8:01	公邸発	
10/31	8:02	官邸着	
10/31	8:08	河井法務大臣、菅官房長官と面会（～8:24）	
10/31	8:39	自民党の森まさこ・元少子化担当大臣、菅官房長官と面会（～8:47）	
10/31	9:04	報道各社のインタビューで河井法務大臣から辞表を受け取ったことを明らかにし、「こうした結果となり、その責任を痛感している」などと陳謝（～9:07）	
10/31	9:35	三重県の鈴木英敬知事と面会（～10:15）	
10/31	10:16	兵庫県立大学の五百旗頭真理事長、東京大学の山内昌之名誉教授、国際交流基金の安藤裕康理事長、外務省の志野光子国際文化交流審議官と面会（～10:30）	
10/31	10:46	官邸発	
10/31	10:54	皇居着、内奏と森氏の閣僚認証式	
10/31	11:30	皇居発	
10/31	11:39	官邸着	
10/31	11:56	森氏に法務大臣の補職辞令交付、記念撮影	
10/31	14:04	西村明宏官房副長官、北村滋国家安全保障局長、総務省の山田真貴子総務審議官、外務省の森健良外務審議官、石川浩司南部アジア部長、鈴木秀生国際協力局長、経済産業省の田中繁広経済産業審議官、国土交通省の岡西康博国際統括官、防衛省の西田安範防衛審議官と面会（～14:53）	
10/31	15:04	規制改革推進会議に出席（～15:34）	
10/31	15:35	西村康稔経済財政担当大臣と面会（～15:36）	
10/31	15:37	北村国家安全保障局長、今井尚哉総理補佐官と面会（～15:43）	
10/31	16:00	アメリカのインド太平洋軍のデービッドソン司令官の表敬訪問（～16:29）	
10/31	16:34	国と地方の協議の場に出席（～16:42）	
10/31	17:08	「東南アジア青年の船」事業参加者の表敬（～17:24）	
10/31	18:04	国家安全保障会議（～18:15）	
10/31	18:24	報道各社のインタビューで、北朝鮮が弾道ミサイルとみられる飛しょう体を発射したことを受け「わが国と地域の平和と安定を脅かすもので強く非難する」と発言	
10/31	18:25	官邸発	
10/31	18:26	公邸着、日本医師会の横倉義武会長や日本製薬工業協会の中山譲治会長らと会食	　食事
10/31	20:42	出席者が公邸を出る	

10/30	9:46	東京・富ヶ谷の私邸発	
	10:00	官邸着	
	11:13	官邸発	
	11:27	東京・渋谷の複合ビル「渋谷スクランブルスクエア」着　同ビルの東棟開業祝賀会に出席しあいさつ	
	11:54	「渋谷スクランブルスクエア」発	
	12:09	官邸着	
	14:01	北村滋国家安全保障局長、林肇官房副長官補、外務省の山田重夫総合外交政策局長、防衛省の槌道明宏防衛政策局長、山崎幸二統合幕僚長と面会（～14:23）	
	14:35	麻生副総理兼財務大臣、財務省の岡本薫明事務次官、武内良樹財務官、岡村健司国際局長（～14:52）	
	15:24	最高裁判所の岡村和美判事と、山本庸幸前判事と面会（～15:34）	
	15:55	総務省の山田真貴子総務審議官、外務省の森健良外務審議官、金杉憲治外務審議官、石川浩司南部アジア部長、鈴木秀生国際協力局長、塚田玉樹地球規模課題審議官、大沢誠農林水産審議官、経済産業省の田中繁広経済審議官、防衛省の西田安範防衛審議官と面会（～16:35）	
	16:36	北村地方創生担当大臣、内閣府の山崎重孝事務次官、田和審議官、井上裕之政策統括官と面会（～17:06）	
	17:24	地方制度調査会の市川晃会長から答申の受け取り（～17:32）	
	17:33	ジャーナリストの田原総一朗氏と面会（～18:18）	
	18:37	官邸発	
	18:38	公邸着　各府省庁の事務次官らと会食　菅官房長官、西村官房副長官、岡田官房副長官、杉田官房副長官が同席（～20:12）	 　夕食
	21:00	自民党の稲田幹事長代行と面会（～21:41）	

10/29	8:42	東京・富ヶ谷の私邸発	
10/29	8:55	官邸着	
10/29	9:03	閣議（～9:14）	
10/29	10:12	官邸発	
10/29	10:20	皇居着、内奏	
10/29	10:55	皇居発	
10/29	11:05	官邸着	
10/29	11:27	北村滋国家安全保障局長、林肇官房副長官補、今井尚哉総理大臣補佐官、外務省の秋葉剛男事務次官、高橋克彦中東アフリカ局長と面会（～11:58）	
10/29	12:04	公明党の山口那津男代表と面会（～12:59）	
10/29	13:51	梶山経済産業大臣、外務省の金杉憲治外務審議官、農林水産省の大沢誠農林水産審議官、経済産業省の安藤久佳事務次官、田中繁広経産審議官、広瀬直通商政策局長と面会（～14:35）	
10/29	14:36	自民党の塩崎恭久衆議院議員、日本国際交流センターの大河原昭夫理事長と面会（～14:59）	
10/29	15:02	自民党台風19号非常災害対策本部の二階俊博本部長らから台風被害に関する申し入れ（～15:19）	
10/29	16:02	麻生財務大臣と財務省の太田充主計局長と面会（～16:53）	
10/29	16:54	梶山経済産業大臣、経済産業省の安藤事務次官と面会（～17:12）	
10/29	17:17	未来投資会議に出席（～18:02）	
10/29	18:24	官邸発	
10/29	18:41	東京・銀座のふぐ料理店「治郎長」でＪＲ東海の葛西敬之名誉会長と北村国家安全保障局長と会食	 　夕食
10/29	21:43	「治郎長」発	
10/29	22:03	私邸着
10/28	9:13	東京・富ヶ谷の私邸発	
	9:28	官邸着	
	9:47	台風19号の非常災害対策本部会議に出席(～10:06)	
	10:08	内閣府の山崎重孝事務次官と面会（～10:23）	
	10:24	北村滋国家安全保障局長、瀧澤裕昭内閣情報官と面会	
	10:31	北村国家安全保障局長が出る	
	10:52	瀧澤内閣情報官が出る	
	11:04	冨田浩司駐韓大使、鈴木哲駐インド大使、岡浩駐マレーシア大使と面会（～11:14）	
	11:22	西村経済再生担当大臣、内閣府の山崎事務次官、田和宏審議官、多田明弘政策統括官、井上裕之政策統括官、増島稔政策統括官と面会（～11:42）	
